path,split,speaker,gender,dialect,sentence
audio/TRAIN_DR1_FCJF0_SA1.WAV,TRAIN,FCJF0,F,DR1,SA1
audio/TRAIN_DR1_FDAW0_SA1.WAV,TRAIN,FDAW0,F,DR1,SA1
audio/TRAIN_DR1_FDML0_SA1.WAV,TRAIN,FDML0,F,DR1,SA1
audio/TRAIN_DR1_FECD0_SA1.WAV,TRAIN,FECD0,F,DR1,SA1
audio/TRAIN_DR1_FETB0_SA1.WAV,TRAIN,FETB0,F,DR1,SA1
audio/TRAIN_DR1_FJSP0_SA1.WAV,TRAIN,FJSP0,F,DR1,SA1
audio/TRAIN_DR1_FKFB0_SA1.WAV,TRAIN,FKFB0,F,DR1,SA1
audio/TRAIN_DR1_FMEM0_SA1.WAV,TRAIN,FMEM0,F,DR1,SA1
audio/TRAIN_DR1_FSAH0_SA1.WAV,TRAIN,FSAH0,F,DR1,SA1
audio/TRAIN_DR1_FSJK1_SA1.WAV,TRAIN,FSJK1,F,DR1,SA1
audio/TRAIN_DR1_FSMA0_SA1.WAV,TRAIN,FSMA0,F,DR1,SA1
audio/TRAIN_DR1_FTBR0_SA1.WAV,TRAIN,FTBR0,F,DR1,SA1
audio/TRAIN_DR1_FVFB0_SA1.WAV,TRAIN,FVFB0,F,DR1,SA1
audio/TRAIN_DR1_FVMH0_SA1.WAV,TRAIN,FVMH0,F,DR1,SA1
audio/TRAIN_DR1_MCPM0_SA1.WAV,TRAIN,MCPM0,M,DR1,SA1
audio/TRAIN_DR1_MDAC0_SA1.WAV,TRAIN,MDAC0,M,DR1,SA1
audio/TRAIN_DR1_MDPK0_SA1.WAV,TRAIN,MDPK0,M,DR1,SA1
audio/TRAIN_DR1_MEDR0_SA1.WAV,TRAIN,MEDR0,M,DR1,SA1
audio/TRAIN_DR1_MGRL0_SA1.WAV,TRAIN,MGRL0,M,DR1,SA1
audio/TRAIN_DR1_MJEB1_SA1.WAV,TRAIN,MJEB1,M,DR1,SA1
audio/TRAIN_DR1_MJWT0_SA1.WAV,TRAIN,MJWT0,M,DR1,SA1
audio/TRAIN_DR1_MKLS0_SA1.WAV,TRAIN,MKLS0,M,DR1,SA1
audio/TRAIN_DR1_MKLW0_SA1.WAV,TRAIN,MKLW0,M,DR1,SA1
audio/TRAIN_DR1_MMGG0_SA1.WAV,TRAIN,MMGG0,M,DR1,SA1
audio/TRAIN_DR1_MMRP0_SA1.WAV,TRAIN,MMRP0,M,DR1,SA1
audio/TRAIN_DR1_MPGH0_SA1.WAV,TRAIN,MPGH0,M,DR1,SA1
audio/TRAIN_DR1_MPGR0_SA1.WAV,TRAIN,MPGR0,M,DR1,SA1
audio/TRAIN_DR1_MPSW0_SA1.WAV,TRAIN,MPSW0,M,DR1,SA1
audio/TRAIN_DR1_MRAI0_SA1.WAV,TRAIN,MRAI0,M,DR1,SA1
audio/TRAIN_DR1_MRCG0_SA1.WAV,TRAIN,MRCG0,M,DR1,SA1
audio/TRAIN_DR1_MRDD0_SA1.WAV,TRAIN,MRDD0,M,DR1,SA1
audio/TRAIN_DR1_MRSO0_SA1.WAV,TRAIN,MRSO0,M,DR1,SA1
audio/TRAIN_DR1_MRWS0_SA1.WAV,TRAIN,MRWS0,M,DR1,SA1
audio/TRAIN_DR1_MTJS0_SA1.WAV,TRAIN,MTJS0,M,DR1,SA1
audio/TRAIN_DR1_MTPF0_SA1.WAV,TRAIN,MTPF0,M,DR1,SA1
audio/TRAIN_DR1_MTRR0_SA1.WAV,TRAIN,MTRR0,M,DR1,SA1
audio/TRAIN_DR1_MWAD0_SA1.WAV,TRAIN,MWAD0,M,DR1,SA1
audio/TRAIN_DR1_MWAR0_SA1.WAV,TRAIN,MWAR0,M,DR1,SA1
audio/TRAIN_DR2_FAEM0_SA1.WAV,TRAIN,FAEM0,F,DR2,SA1
audio/TRAIN_DR2_FAJW0_SA1.WAV,TRAIN,FAJW0,F,DR2,SA1
audio/TRAIN_DR2_FCAJ0_SA1.WAV,TRAIN,FCAJ0,F,DR2,SA1
audio/TRAIN_DR2_FCMM0_SA1.WAV,TRAIN,FCMM0,F,DR2,SA1
audio/TRAIN_DR2_FCYL0_SA1.WAV,TRAIN,FCYL0,F,DR2,SA1
audio/TRAIN_DR2_FDAS1_SA1.WAV,TRAIN,FDAS1,F,DR2,SA1
audio/TRAIN_DR2_FDNC0_SA1.WAV,TRAIN,FDNC0,F,DR2,SA1
audio/TRAIN_DR2_FDXW0_SA1.WAV,TRAIN,FDXW0,F,DR2,SA1
audio/TRAIN_DR2_FEAC0_SA1.WAV,TRAIN,FEAC0,F,DR2,SA1
audio/TRAIN_DR2_FHLM0_SA1.WAV,TRAIN,FHLM0,F,DR2,SA1
